group_type,group_name,n_models,cv_private_pearson,cv_private_spearman,public_private_pearson,public_private_spearman
overall,all,300,0.9998487929307748,0.9988481893046713,0.9999188322799523,0.9992449682890628
competition,homesite,100,0.9993422959932095,0.9871087793452968,0.9994806035230502,0.9954385996904327
competition,porto,100,0.9969674426921946,0.9895330235665794,0.9970148598137567,0.9920102768068565
competition,santander,100,0.9953357934271251,0.9922521646617481,0.9991582401156062,0.9921581691392561
model_family,catboost,60,0.9998639263639226,0.9965682552702386,0.999938952464998,0.9957346324825376
model_family,extra_trees,23,0.9999008629116577,0.9930830039525691,0.9999477590506018,0.9940711462450593
model_family,lightgbm,75,0.9998837345689466,0.9944594200779272,0.9998930105866077,0.9962019374386548
model_family,logistic_regression,45,0.9998466939576653,0.9937857115159712,0.9999946345771984,0.9995682806319751
model_family,random_forest,22,0.9999384786616548,0.9841897233201583,0.9998942734222833,0.987291764871113
model_family,xgboost,75,0.9998703342627708,0.9933142719962579,0.9999025538949553,0.9951704567926761
