competition,model_family,n_models,mean_cv_auc,std_cv_auc,min_cv_auc,max_cv_auc,mean_cv_std,mean_runtime_seconds
homesite,catboost,150,0.962362199048338,0.00307754242974448,0.9520319770289044,0.9659887856721696,0.00045712612208310467,172.6601065381368
homesite,extra_trees,42,0.9507304310994342,0.005400637685426883,0.941673741675795,0.956312823964019,0.0006928327591189095,258.29820272468385
homesite,lightgbm,350,0.9634044299764526,0.0033379694976298346,0.9439830653453984,0.9661475134235148,0.00051113946733965,110.55962074892861
homesite,logistic_regression,75,0.9412582467344163,0.002095646105017716,0.9350294770570736,0.9427538794083996,0.0007031703322696773,260.6626763979594
homesite,random_forest,33,0.9514208863730982,0.004600189654779139,0.945465615931974,0.9579859957821564,0.0007048107528595576,313.56987164959764
homesite,xgboost,350,0.9631284118812323,0.0031821380842665843,0.9436848988226116,0.9659865373238968,0.00047964773816928377,164.95754367351532
porto,catboost,150,0.6360343530531224,0.003869359676818524,0.6225032374881049,0.6407763196323957,0.0029755541793304884,116.09383038043975
porto,extra_trees,42,0.6187575831379558,0.006111262802002427,0.5982191115505648,0.6263978691164899,0.003023706221133095,351.4338375443504
porto,lightgbm,350,0.636309896355866,0.0059535176328846875,0.6048495236792387,0.6412689944130306,0.003018343447637279,67.3048811497007
porto,logistic_regression,75,0.6194666569428382,0.0012968154780671033,0.6151284636268592,0.6203614559026003,0.0039466809616538895,36.91914865811666
porto,random_forest,33,0.6135081329469707,0.0068758410628670845,0.5980154777273938,0.6237353058769021,0.0028387162167372365,508.6113775209947
porto,xgboost,350,0.6362361229591671,0.007083854025443249,0.6008623499550408,0.6420357876072501,0.003071816159971139,59.70548193114144
santander,catboost,150,0.8663639852007505,0.022124789311491595,0.7953305202985157,0.895085439211255,0.0034249584321159134,146.22698923746745
santander,extra_trees,42,0.8622417482723398,0.010742863908289916,0.83335774096743,0.8773057704186128,0.0035739492323593447,234.93874647503807
santander,lightgbm,350,0.8727606667662756,0.020897354476106102,0.7853534847079856,0.894081715084052,0.0032996097427975225,101.07824126856667
santander,logistic_regression,75,0.8573193698941963,0.0065233546402354734,0.8355127026583642,0.8595474021559957,0.0025052862587080214,17.44771138827006
santander,random_forest,33,0.851367949298572,0.00710277859694307,0.8411131955003066,0.8629362263932695,0.0042424536052529304,2539.3298083507652
santander,xgboost,350,0.8727845402121397,0.018875726735516254,0.7862118119338402,0.894660608312468,0.003330554503044455,117.76866686889103
