model_id,public_auc,private_auc
14,0.96547,0.96502
21,0.96696,0.96648
27,0.95338,0.95257
36,0.96708,0.96662
52,0.94495,0.94447
81,0.96682,0.96634
89,0.96688,0.9665
101,0.9654,0.96492
140,0.96564,0.96507
143,0.94455,0.94406
145,0.95347,0.95274
154,0.95237,0.95126
162,0.96538,0.96484
168,0.94526,0.94489
197,0.96696,0.96638
204,0.96553,0.96505
220,0.95328,0.95267
222,0.95296,0.95237
223,0.96527,0.96474
227,0.96537,0.96499
270,0.96694,0.96667
320,0.96548,0.96502
333,0.96703,0.96669
341,0.96552,0.96488
349,0.96663,0.96632
385,0.95126,0.95092
406,0.96501,0.96446
413,0.96686,0.96651
421,0.96661,0.96626
455,0.95334,0.95253
458,0.96495,0.96451
470,0.96496,0.96459
484,0.9447,0.9443
489,0.95492,0.95408
492,0.9668,0.96638
499,0.96678,0.96637
514,0.96518,0.96461
527,0.96513,0.96447
531,0.96496,0.96443
533,0.96694,0.96644
538,0.96496,0.96439
540,0.96678,0.96639
576,0.94452,0.94413
619,0.95425,0.95361
630,0.95518,0.95466
631,0.95243,0.95135
664,0.96697,0.96648
667,0.96516,0.96459
677,0.96685,0.96645
686,0.96498,0.96456
704,0.96686,0.96639
707,0.96439,0.96378
709,0.95709,0.95599
724,0.96723,0.96639
749,0.9565,0.95552
750,0.96458,0.96378
762,0.96668,0.96637
764,0.96691,0.96648
767,0.9642,0.96354
769,0.96681,0.96631
783,0.95753,0.95631
791,0.96676,0.96625
793,0.95659,0.9556
822,0.95377,0.95274
823,0.96461,0.96386
825,0.96434,0.96371
827,0.9645,0.96377
833,0.96436,0.96378
844,0.95765,0.95667
849,0.96435,0.9637
861,0.94983,0.94996
864,0.95815,0.95779
873,0.94338,0.94349
878,0.95025,0.95024
886,0.95035,0.95025
897,0.94389,0.94373
903,0.95833,0.95811
904,0.94369,0.94345
905,0.95882,0.95832
911,0.95035,0.95026
913,0.95898,0.9587
917,0.94426,0.94416
920,0.94363,0.9435
923,0.95039,0.95022
924,0.9591,0.95871
927,0.93756,0.93602
930,0.94381,0.94313
933,0.9436,0.94297
937,0.94381,0.94313
942,0.93756,0.93603
943,0.93756,0.93603
949,0.94351,0.94281
953,0.93755,0.93602
954,0.94351,0.94281
963,0.93756,0.93603
968,0.94381,0.94313
987,0.94351,0.94281
990,0.9435,0.94275
992,0.94381,0.94313
997,0.94331,0.94248
