model_id,model_family,seed,params_json
0,lightgbm,89251,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": 5, ""min_child_samples"": 120, ""subsample"": 0.6, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.01, ""reg_lambda"": 0.0}"
1,lightgbm,526479,"{""n_estimators"": 1100, ""learning_rate"": 0.05, ""num_leaves"": 127, ""max_depth"": 7, ""min_child_samples"": 80, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5}"
2,lightgbm,500352,"{""n_estimators"": 500, ""learning_rate"": 0.01, ""num_leaves"": 127, ""max_depth"": 7, ""min_child_samples"": 80, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5}"
3,lightgbm,450460,"{""n_estimators"": 500, ""learning_rate"": 0.01, ""num_leaves"": 63, ""max_depth"": 9, ""min_child_samples"": 10, ""subsample"": 1.0, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0}"
4,lightgbm,165229,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": -1, ""min_child_samples"": 120, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0}"
5,lightgbm,759899,"{""n_estimators"": 300, ""learning_rate"": 0.02, ""num_leaves"": 31, ""max_depth"": 5, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0}"
6,lightgbm,922527,"{""n_estimators"": 900, ""learning_rate"": 0.02, ""num_leaves"": 127, ""max_depth"": 5, ""min_child_samples"": 20, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5}"
7,lightgbm,795680,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""num_leaves"": 15, ""max_depth"": 7, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0}"
8,lightgbm,940306,"{""n_estimators"": 700, ""learning_rate"": 0.01, ""num_leaves"": 127, ""max_depth"": 7, ""min_child_samples"": 80, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0}"
9,lightgbm,435217,"{""n_estimators"": 1100, ""learning_rate"": 0.07, ""num_leaves"": 31, ""max_depth"": 9, ""min_child_samples"": 20, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0}"
10,lightgbm,832736,"{""n_estimators"": 300, ""learning_rate"": 0.07, ""num_leaves"": 15, ""max_depth"": 7, ""min_child_samples"": 80, ""subsample"": 0.9, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0}"
11,lightgbm,277122,"{""n_estimators"": 900, ""learning_rate"": 0.03, ""num_leaves"": 31, ""max_depth"": 5, ""min_child_samples"": 40, ""subsample"": 0.6, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.01, ""reg_lambda"": 0.0}"
12,lightgbm,439614,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": 9, ""min_child_samples"": 40, ""subsample"": 0.6, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0}"
13,lightgbm,565373,"{""n_estimators"": 700, ""learning_rate"": 0.01, ""num_leaves"": 63, ""max_depth"": 7, ""min_child_samples"": 20, ""subsample"": 0.9, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.01, ""reg_lambda"": 0.5}"
14,lightgbm,982738,"{""n_estimators"": 500, ""learning_rate"": 0.02, ""num_leaves"": 31, ""max_depth"": 9, ""min_child_samples"": 120, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0}"
15,lightgbm,855670,"{""n_estimators"": 500, ""learning_rate"": 0.07, ""num_leaves"": 31, ""max_depth"": 5, ""min_child_samples"": 80, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0}"
16,lightgbm,996106,"{""n_estimators"": 900, ""learning_rate"": 0.03, ""num_leaves"": 31, ""max_depth"": 5, ""min_child_samples"": 120, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.01, ""reg_lambda"": 0.0}"
