competition,model_id,model_family,seed,params_json,started_at,cv_auc_mean,cv_auc_std,cv_auc_min,cv_auc_max,submission_path,submitted_to_kaggle,kaggle_status,public_auc,private_auc,runtime_seconds,error,finished_at
porto,0,lightgbm,89251,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": 5, ""min_child_samples"": 120, ""subsample"": 0.6, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.01, ""reg_lambda"": 0.0}",2026-05-12T14:23:25.746984,0.6320186676009716,0.0022834200965646,0.6283382563186619,0.6347408029134685,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0000.csv,False,,,,52.02865219116211,,2026-05-12T14:24:17.775627
porto,1,lightgbm,526479,"{""n_estimators"": 1100, ""learning_rate"": 0.05, ""num_leaves"": 127, ""max_depth"": 7, ""min_child_samples"": 80, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5}",2026-05-12T14:24:17.777524,0.6207648702649962,0.0046526448313526,0.6152492846355542,0.6281845909401415,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0001.csv,False,,,,127.18786120414734,,2026-05-12T14:26:24.965376
porto,2,lightgbm,500352,"{""n_estimators"": 500, ""learning_rate"": 0.01, ""num_leaves"": 127, ""max_depth"": 7, ""min_child_samples"": 80, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5}",2026-05-12T14:26:24.972349,0.6387076824505026,0.0030431563986847,0.6329717826704352,0.6415230508758415,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0002.csv,False,,,,56.43653392791748,,2026-05-12T14:27:21.408873
porto,3,lightgbm,450460,"{""n_estimators"": 500, ""learning_rate"": 0.01, ""num_leaves"": 63, ""max_depth"": 9, ""min_child_samples"": 10, ""subsample"": 1.0, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0}",2026-05-12T14:27:21.412492,0.6396449744883197,0.0029980036995179,0.6337479306683317,0.6421051793831672,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0003.csv,False,,,,55.15356373786926,,2026-05-12T14:28:16.566047
porto,4,lightgbm,165229,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": -1, ""min_child_samples"": 120, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0}",2026-05-12T14:28:16.570415,0.6333538033351228,0.0020719262437671,0.6302473401666743,0.6366786134669654,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0004.csv,False,,,,56.30677080154419,,2026-05-12T14:29:12.877177
porto,5,lightgbm,759899,"{""n_estimators"": 300, ""learning_rate"": 0.02, ""num_leaves"": 31, ""max_depth"": 5, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0}",2026-05-12T14:33:34.049385,0.639732390537518,0.003432726541785231,0.6331360595541639,0.6429683849964627,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0005.csv,False,,,,34.62416410446167,,2026-05-12T14:34:08.673532
porto,6,lightgbm,922527,"{""n_estimators"": 900, ""learning_rate"": 0.02, ""num_leaves"": 127, ""max_depth"": 5, ""min_child_samples"": 20, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5}",2026-05-12T14:34:08.677378,0.6396008687008461,0.002826399031353025,0.6341108306815137,0.6417866405223304,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0006.csv,False,,,,55.15544891357422,,2026-05-12T14:35:03.832817
porto,7,lightgbm,795680,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""num_leaves"": 15, ""max_depth"": 7, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0}",2026-05-12T14:35:03.837457,0.6397548594761,0.003333854683384517,0.6333811969920605,0.6428176779417386,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0007.csv,False,,,,32.47149300575256,,2026-05-12T14:35:36.308940
porto,8,lightgbm,940306,"{""n_estimators"": 700, ""learning_rate"": 0.01, ""num_leaves"": 127, ""max_depth"": 7, ""min_child_samples"": 80, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0}",2026-05-12T14:35:36.313020,0.6407801028235454,0.0030656300906856497,0.6349425245997952,0.6433274823732601,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0008.csv,False,,,,92.8849880695343,,2026-05-12T14:37:09.198002
porto,9,lightgbm,435217,"{""n_estimators"": 1100, ""learning_rate"": 0.07, ""num_leaves"": 31, ""max_depth"": 9, ""min_child_samples"": 20, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0}",2026-05-12T14:37:09.203596,0.6255242816600168,0.0024330821989212285,0.622944905175981,0.6286948330084688,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0009.csv,False,,,,59.28332209587097,,2026-05-12T14:38:08.486905
