model_id,public_gini,private_gini,public_auc,private_auc
2,0.27412,0.2788,0.63706,0.6394
13,0.27887,0.28305,0.639435,0.641525
14,0.27853,0.28362,0.639265,0.64181
44,0.27293,0.277,0.6364650000000001,0.6385000000000001
51,0.22161,0.2231,0.610805,0.61155
69,0.21277,0.21569,0.606385,0.607845
85,0.27514,0.27913,0.63757,0.6395649999999999
139,0.27604,0.28126,0.63802,0.64063
158,0.27858,0.28344,0.63929,0.6417200000000001
173,0.22633,0.22772,0.613165,0.61386
204,0.27603,0.28065,0.638015,0.640325
211,0.22446,0.22528,0.61223,0.61264
237,0.27898,0.28398,0.63949,0.6419900000000001
251,0.21387,0.21427,0.606935,0.607135
261,0.27955,0.28334,0.639775,0.64167
262,0.27727,0.2809,0.6386350000000001,0.64045
272,0.27862,0.28312,0.63931,0.64156
276,0.27459,0.27969,0.637295,0.639845
285,0.27357,0.27803,0.6367849999999999,0.639015
290,0.21918,0.22197,0.60959,0.610985
300,0.22965,0.22791,0.614825,0.613955
304,0.275,0.28048,0.6375,0.64024
316,0.27879,0.28357,0.6393949999999999,0.641785
338,0.22976,0.22444,0.61488,0.61222
349,0.27535,0.27977,0.637675,0.639885
360,0.27999,0.28295,0.639995,0.641475
362,0.2792,0.28365,0.6396,0.641825
391,0.27941,0.28425,0.639705,0.6421250000000001
400,0.27958,0.28417,0.63979,0.642085
407,0.22592,0.22696,0.61296,0.61348
410,0.27505,0.27948,0.637525,0.63974
448,0.27819,0.2825,0.639095,0.64125
451,0.27914,0.28283,0.63957,0.6414150000000001
458,0.2798,0.2837,0.6399,0.64185
482,0.21489,0.21438,0.607445,0.60719
493,0.22554,0.22207,0.61277,0.611035
494,0.223,0.22174,0.6115,0.61087
501,0.27532,0.28059,0.63766,0.6402950000000001
522,0.20764,0.20332,0.60382,0.60166
524,0.20149,0.20163,0.600745,0.600815
551,0.22607,0.22023,0.613035,0.610115
556,0.27565,0.27987,0.637825,0.639935
557,0.27573,0.27931,0.637865,0.639655
560,0.27949,0.28401,0.639745,0.6420049999999999
577,0.27526,0.28005,0.63763,0.6400250000000001
579,0.27579,0.27981,0.637895,0.639905
589,0.27567,0.27999,0.637835,0.639995
595,0.27936,0.28355,0.63968,0.641775
598,0.22386,0.2217,0.61193,0.61085
686,0.27496,0.28005,0.63748,0.6400250000000001
702,0.27588,0.28106,0.63794,0.64053
709,0.25259,0.25541,0.626295,0.627705
724,0.25582,0.26087,0.62791,0.630435
728,0.27153,0.2761,0.635765,0.63805
738,0.27237,0.27592,0.636185,0.63796
746,0.27582,0.28211,0.63791,0.641055
747,0.27155,0.27563,0.635775,0.637815
749,0.2505,0.25289,0.62525,0.626445
779,0.27292,0.27725,0.63646,0.638625
780,0.27635,0.28224,0.6381749999999999,0.64112
782,0.2762,0.28095,0.6381,0.640475
793,0.25122,0.25284,0.62561,0.62642
818,0.27121,0.27504,0.635605,0.63752
822,0.24265,0.24482,0.621325,0.62241
831,0.27177,0.27596,0.635885,0.63798
832,0.27594,0.28051,0.63797,0.640255
834,0.27126,0.27785,0.63563,0.638925
844,0.2531,0.25523,0.6265499999999999,0.627615
847,0.27648,0.2825,0.63824,0.64125
849,0.27249,0.27498,0.636245,0.63749
852,0.20352,0.20451,0.60176,0.602255
856,0.19605,0.20267,0.598025,0.601335
879,0.22555,0.22994,0.612775,0.61497
881,0.22521,0.23213,0.612605,0.616065
885,0.20156,0.20212,0.60078,0.60106
887,0.19393,0.19374,0.596965,0.59687
892,0.22785,0.2317,0.613925,0.61585
893,0.24918,0.25096,0.62459,0.62548
897,0.24845,0.25078,0.624225,0.62539
904,0.244,0.25038,0.622,0.62519
913,0.22684,0.2323,0.61342,0.61615
917,0.24549,0.24873,0.622745,0.6243650000000001
920,0.24876,0.25116,0.62438,0.62558
921,0.18902,0.193,0.59451,0.5965
924,0.22846,0.22997,0.61423,0.614985
927,0.23091,0.23351,0.615455,0.6167549999999999
929,0.23807,0.24308,0.619035,0.62154
942,0.23091,0.23351,0.615455,0.6167549999999999
943,0.23091,0.23351,0.615455,0.6167549999999999
953,0.23091,0.23351,0.615455,0.6167549999999999
956,0.2374,0.24279,0.6187,0.621395
957,0.23807,0.24308,0.619035,0.62154
958,0.2374,0.24279,0.6187,0.621395
959,0.2374,0.24279,0.6187,0.621395
963,0.23091,0.23351,0.615455,0.6167549999999999
972,0.23807,0.24308,0.619035,0.62154
984,0.2374,0.24279,0.6187,0.621395
989,0.2374,0.24279,0.6187,0.621395
991,0.23807,0.24308,0.619035,0.62154
994,0.23807,0.24308,0.619035,0.62154
