competition,model_id,model_family,seed,params_json,started_at,cv_auc_mean,cv_auc_std,cv_auc_min,cv_auc_max,submission_path,submitted_to_kaggle,kaggle_status,runtime_seconds,error,finished_at,public_auc,private_auc,cv_private_gap,abs_cv_private_gap,public_private_gap,abs_public_private_gap
santander,10,lightgbm,832736,"{""n_estimators"": 300, ""learning_rate"": 0.07, ""num_leaves"": 15, ""max_depth"": 7, ""min_child_samples"": 80, ""subsample"": 0.9, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0}",2026-05-09T22:02:03.621143,0.8805125053981586,0.0030940151261912,0.8744794717352649,0.8832945886074525,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0010.csv,False,,48.81920504570007,,2026-05-09T22:02:52.440341,0.88063,0.87641,0.004102505398158596,0.004102505398158596,0.0042200000000000015,0.0042200000000000015
santander,19,lightgbm,683700,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": 9, ""min_child_samples"": 10, ""subsample"": 0.7, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0}",2026-05-09T22:14:11.108224,0.8936363536053922,0.0027464777467498,0.8885033766686301,0.896121469765508,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0019.csv,False,,103.91950106620789,,2026-05-09T22:15:55.027715,0.89457,0.89159,0.0020463536053921816,0.0020463536053921816,0.0029799999999999827,0.0029799999999999827
santander,52,lightgbm,357861,"{""n_estimators"": 300, ""learning_rate"": 0.01, ""num_leaves"": 127, ""max_depth"": 3, ""min_child_samples"": 20, ""subsample"": 1.0, ""colsample_bytree"": 0.5, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0}",2026-05-09T23:32:46.439922,0.7853534847079856,0.0058416124427771,0.7750147297144074,0.7928098736194704,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0052.csv,True,COMPLETE,23.459999084472656,,2026-05-09T23:33:09.899912,0.78596,0.78164,0.0037134847079856037,0.0037134847079856037,0.0043199999999999905,0.0043199999999999905
santander,67,lightgbm,952511,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""num_leaves"": 15, ""max_depth"": 7, ""min_child_samples"": 80, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0}",2026-05-09T23:51:53.284949,0.8934054982269689,0.0027546440781164,0.8881562863835353,0.8957798349781508,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0067.csv,True,COMPLETE,105.87707114219666,,2026-05-09T23:53:39.162009,0.89304,0.89027,0.0031354982269689025,0.0031354982269689025,0.002769999999999939,0.002769999999999939
santander,72,lightgbm,139136,"{""n_estimators"": 1100, ""learning_rate"": 0.07, ""num_leaves"": 15, ""max_depth"": 7, ""min_child_samples"": 10, ""subsample"": 0.9, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0}",2026-05-10T00:05:35.769675,0.8933692501346119,0.0028363152112463,0.8879470629067004,0.8957138218680135,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0072.csv,True,COMPLETE,92.34055709838869,,2026-05-10T00:07:08.110225,0.8947,0.89052,0.0028492501346119026,0.0028492501346119026,0.0041800000000000725,0.0041800000000000725
santander,75,lightgbm,961297,"{""n_estimators"": 300, ""learning_rate"": 0.01, ""num_leaves"": 127, ""max_depth"": 5, ""min_child_samples"": 40, ""subsample"": 0.9, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0}",2026-05-10T00:09:44.600400,0.8115166591268309,0.0043888744938439,0.8040693558333956,0.8174431573424694,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0075.csv,True,COMPLETE,35.94646406173706,,2026-05-10T00:10:20.546857,0.81146,0.80607,0.005446659126830955,0.005446659126830955,0.005390000000000006,0.005390000000000006
santander,81,lightgbm,44171,"{""n_estimators"": 1100, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": 7, ""min_child_samples"": 120, ""subsample"": 0.6, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0}",2026-05-10T00:18:03.333288,0.8936915055690596,0.0023179760580748,0.8892703588782049,0.8958925745271313,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0081.csv,True,COMPLETE,107.75851798057556,,2026-05-10T00:19:51.091800,0.89509,0.89165,0.0020415055690595763,0.0020415055690595763,0.0034399999999999986,0.0034399999999999986
santander,84,lightgbm,288909,"{""n_estimators"": 900, ""learning_rate"": 0.07, ""num_leaves"": 15, ""max_depth"": -1, ""min_child_samples"": 10, ""subsample"": 0.6, ""colsample_bytree"": 0.5, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",2026-05-10T00:23:50.654140,0.8937636269047493,0.0026876832183303,0.8886643353549097,0.8961277004183715,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0084.csv,True,COMPLETE,88.28097081184387,,2026-05-10T00:25:18.935101,0.89444,0.89133,0.002433626904749353,0.002433626904749353,0.003110000000000057,0.003110000000000057
santander,86,lightgbm,968196,"{""n_estimators"": 1100, ""learning_rate"": 0.01, ""num_leaves"": 127, ""max_depth"": 9, ""min_child_samples"": 80, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0}",2026-05-10T00:26:11.731300,0.8803077050143246,0.003178673507477,0.8746683480872459,0.8841959586934408,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0086.csv,True,COMPLETE,339.67229199409485,,2026-05-10T00:31:51.403585,0.88044,0.87764,0.0026677050143246728,0.0026677050143246728,0.0028000000000000247,0.0028000000000000247
santander,117,lightgbm,628980,"{""n_estimators"": 900, ""learning_rate"": 0.02, ""num_leaves"": 15, ""max_depth"": -1, ""min_child_samples"": 20, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.01, ""reg_lambda"": 0.0}",2026-05-10T01:19:43.659295,0.8804071934024282,0.0033318368041783,0.8739508889681665,0.8834603613160438,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0117.csv,False,,90.17522525787354,,2026-05-10T01:21:13.834509,0.87972,0.87655,0.003857193402428183,0.003857193402428183,0.003169999999999895,0.003169999999999895
santander,143,lightgbm,470276,"{""n_estimators"": 300, ""learning_rate"": 0.01, ""num_leaves"": 63, ""max_depth"": 3, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0}",2026-05-10T02:03:45.858954,0.78545270581918,0.0055232272257481,0.775798387855055,0.7927069087961529,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0143.csv,False,,30.89548110961914,,2026-05-10T02:04:16.754426,0.78526,0.78079,0.004662705819180046,0.004662705819180046,0.004469999999999974,0.004469999999999974
santander,145,lightgbm,293651,"{""n_estimators"": 300, ""learning_rate"": 0.01, ""num_leaves"": 15, ""max_depth"": 5, ""min_child_samples"": 10, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0}",2026-05-10T02:06:30.701826,0.8078930760394412,0.0048571393144866,0.7992404638840263,0.8139569168956557,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0145.csv,False,,38.24444103240967,,2026-05-10T02:07:08.946258,0.80686,0.80215,0.005743076039441131,0.005743076039441131,0.004709999999999992,0.004709999999999992
santander,154,lightgbm,475502,"{""n_estimators"": 500, ""learning_rate"": 0.01, ""num_leaves"": 63, ""max_depth"": 3, ""min_child_samples"": 40, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0}",2026-05-10T02:15:41.051608,0.8104983057367379,0.0044454062663112,0.8026905909584927,0.8162879555761229,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0154.csv,False,,46.81208920478821,,2026-05-10T02:16:27.863688,0.80995,0.80521,0.005288305736737886,0.005288305736737886,0.0047399999999999665,0.0047399999999999665
